학수번호,교과목이름,학점,이수구분,학년,학기,설강학과,교과목개요,교육과정학과코드
GEN9189,현대사회의비판적이해,3,교양선택,1,1,ERICA 대학,"현대(혹은 근대, the modern)는 신분적 예속 혹은 신의 지배로부터 자유로워진 개인이 근대적 민주주의를 실현하고 정치적 자유와 인권을 획득했을 뿐만 아니라 과학기술과 자본주의의 발전을 통해 유례없는 생산력의 향상과 문명의 혜택을 인류에게 가져다주는 성취를 이루었다. 하지만 현대는 이러한 성취와 함께 엄청난 숙제를 인류에게 안겨주었다. 개인의 자유가 확장되면서 공동체의 가치가 경시되었고, 자본주의의 발전은 빈부격차를 낳았으며, 과학기술의 발달은 오늘날 코로나 바이러스나 기후위기로 이어지는 자연의 파괴를 가져왔다. 
이 수업은 현대사회에 대한 비판적 이해를 도모할 뿐만 아니라 이를 바탕으로 한 창의적 대안을 모색하는 데 중점을 두고자 한다. 학생들은 1) 자본주의 경제에 대한 비판적 이해를 통해 이윤추구를 넘어선 대안적 사회적 가치를 모색하고, 2) 기후와 환경위기를 삶 속에서 인식하고 이를 극복할 수 있는 실천적 방안을 탐색하고, 3) 현대사회와 관련된 여러 쟁점들이 어떻게 우리 삶과 관련되는지를 고민하게 될 것이다. ",
GEN9190,현대우주탐사및추진시스템기초,3,교양선택,1,1,ERICA 대학,"English Medium Instruction (영어전용 강의): This course provides an introduction to the concepts and technologies of modern space explorations and systems. Space systems combine engineering, science, and external phenomena. The course focuses on scientific and engineering foundations of spacecraft systems and interactions among various subsystems. The basic nomenclature, vocabulary, and concepts will be given. Main topics include space environment and interactions, overview of space mission design and applications, and space propulsion and launch systems. In particular, students will learn how rockets work and find out about the various missions to the Moon and Mars.Moreover, recent advances in rocket propulsion systems, such as reusable launch vehicles, electrically driven pump systems, methane rocket engines, and 3D printed rocket engines, will be discussed.",
GEN9191,K-POP한국어,3,교양선택,1,1,ERICA 대학,"본 강좌는 K-POP을 통해 듣기∙말하기∙쓰기 능력을 향상시킬 뿐만 아니라, 한국문화까지 접하고 이해하는 것을 목적으로 한다. 살아있는 언어로 이루어진 K-POP의 가사를 이해하기 위해서는 오늘날의 한국 문화에 대한 이해가 선행되어야 한다. K-POP을 듣고 부르며 한국 문화의 토대 위에서 살아 숨 쉬는 한국어를 접할 수 있다.",
GEN9192,아카데믹한국어듣기말하기,3,교양선택,1,1,ERICA 대학,이 강좌는 외국인 학생이 대학 강의 수강 및 학습 과정에서 필요한 한국어 듣기 말하기 능력을 높임으로써 강의 수강의 어려움을 해소하기 위한 것이다. 한국어 듣기 말하기 중심의 학습법을 체득하게 하여 보다 효과적으로 강의를 수강할 수 있는 능력을 갖추게 될 것이다. ,
GEN9193,아카데믹한국어읽기쓰기,3,교양선택,1,1,ERICA 대학,"이 강좌는 외국인 유학생들의 읽기와 쓰기 능력을 향상시키기 위해서 개설한 과목이다. 특히 수업 때 요구되는 자기 표현 , 강의 내용 파악, 자료 이해, 프레젠테이션, 중간·기말 시험 답안 작성, 보고서 작성 등 보다 실질적인 차원에서 이해하고 또 그것을 수행할 수 있도록 내용을 구성하였다. 이것은 결국 이 강좌가 유학생의 커뮤니케이션 능력을 향상시키고 이를 통해 학습 전반에 대한 만족도를 높이는 결과를 기대할 수 있다는 것을 의미한다.  ",
GEN9194,한국어듣기말하기,3,교양선택,1,1,ERICA 대학,"이 과목은 외국인 학생의 한국어 듣기 및 말하기 실력을 높이고 한국 문화의 이해를 돕기 위한 목적으로 개설되었다. 다양한 과제와 활동을 통해 자연스러운 한국어 발음과 문장의 의미에 맞는 억양을 익히고 일상적 구어 표현을 정확히 이해하며 자신의 생각을 효과적으로 표현할 수 있도록 한다. 한국에서 생활하고 공부하는 데 필요한 의사소통 능력을 향상시키는 것과 더불어, 다양한 주제와 관련된 한국 문화를 소개함으로써 한국어에 대한 이해를 깊게 하고 구체적인 상황에서 한국어를 보다 자유롭게 사용하는 데 실질적인 도움이 되도록 한다.  ",
GEN9195,한국어읽기쓰기,3,교양선택,1,1,ERICA 대학,"˂한국어 읽기 쓰기Ⅰ˃은 외국인 유학생의 한국어 읽기, 쓰기 능력이 균형있게 향상시키려는 목적의 교과목이다. 
대학생활에 필요한 한국어 어휘와 표현을 제시하고, 한국어 지문의 독해 능력을 키울 수 있도록 하였으며 읽기 지문을 통해 이해한 어휘와 표현을 글쓰기에 활용할 수 있도록 하였다. 
또한 한국어 글쓰기에 필요한 한국어 문장 구성과 대학 생활을 하는 데 필요한 기초적인 글쓰기 방법들을 배우고 익힐 수 있도록 하였다. 단원별 주제로는 유학생들이 알아야 할 한국 사회 문화 및 대학 기초 교양 지식을 담고 있다. 
",
GEN9196,한국어듣기말하기2,3,교양선택,1,1,ERICA 대학,"이 과목은 외국인 학생의 한국어 듣기 및 말하기 실력을 높이고 한국 문화의 이해를 돕기 위한 목적으로 개설되었다. 다양한 과제와 활동을 통해  일상적 구어 표현을 정확히 이해하며 자신의 생각을 효과적으로 표현할 수 있도록 한다. 한국에서 생활하고 공부하는 데 필요한 의사소통 능력을 향상시키는 것과 더불어, 다양한 주제와 관련된 한국 문화를 소개함으로써 한국어에 대한 이해를 깊게 하고 구체적인 상황에서 한국어를 보다 자유롭게 사용하는 데 실질적인 도움이 되도록 한다.",
GEN9197,한국어읽기쓰기2,3,교양선택,1,1,ERICA 대학,"
이 과목은 외국인 학생을 위한 한국어 집중 과정에 속한 것으로, 〈한국어 읽기·쓰기Ⅰ〉를 수강한 학생들을 대상으로 한다. 이 과목은 외국인 유학생의 한국어 읽기 쓰기 능력을 높이고 한국어 어휘와 표현을 활용하여 글을 쓸 수 있도록 하기 위해 개설되었다. 대학 생활을 하는 데 필요한 글쓰기 방법을 배우고 익힐 수 있도록 하였다. 교과목은 글쓰기 절차에 따라, 좋은 글의 요건,  주제 설정, 개요 쓰기, 다양한 서술 방식을 익히고, 이를 활용하여 자신의 생각을 글로 표현하는 능력을 향상할 수 있도록 구성하였다. 단원별 주제로는 글쓰기 지식, 한국 문화, 교양 지식을 담고 있다. ",
GEN9198,인공지능과머신러닝의이해,,전공핵심,,,신산업소프트웨어전공,"본 교과목에서는 인공지능의 개념과 원리를 학습하고, 머신 러닝의 알고리즘과 기초 원리를 이해하고 활용할 수 있는 역량을 키우는 것을 목표로 한다.",
GEN9199,인공지능기초프로그래밍,3,교양선택,1,1,ERICA 대학,"본 교과목에서는 인공지능에 관심이 있는 학생을 대상으로 4차 산업혁명 시대에 주목받고 있는 파이썬 프로그래밍 언어의 여러 가지 유형의 자료 처리와 제어구조, 파일 입출력 및 라이브러리 등을 학습한다. 이 언어를 사용하여 인공지능을 활용하기 위한 기초 코딩 실습 교육을 진행하고, 더 나아가 머신러닝/딥러닝과 같은 인공지능 분야에 활용할 수 있도록 한다.",
GEN9200,빅데이터와머신러닝,3,교양선택,1,1,ERICA 대학,"본 교과목에서는 4차 산업혁명 시대에 주목받고 있는 빅데이터 머신러닝 기초 이론부터 파이썬으로 실습하는 것을 목표로 한다. 복잡한 프로그래밍은 최소화하고 가장 유명한 데이터들로 판다스, 시본, 케라스, 텐서플로 등 인기 있는 파이썬 라이브러리를 활용한 코딩 실습 교육을 진행하여 빅데이터와 머신러닝 학습에 대한 이해를 높인다.",
GEN9201,엑셀을이용한데이터분석,3,교양선택,1,1,ERICA 대학,데이터 분석에 입문하고자 하는 학생들이 누구나 쉽고 편하게 접할 수 있는 엑셀을 통해서 다양한 기능을 이용하여 업무에 사용되는 실제 예제를 이용하여 데이터 분석 실습을 수행하여 스스로 데이터 분석을 할 수 있는 역량을 배양한다. ,
GEN9202,디지털리터러시와한국어,3,교양선택,1,1,ERICA 대학,"이 강의는 4차 산업 혁명기에 요구되는 디지털 문화 환경에 대한 분명한 이해를 바탕으로 미디어 리터러시 능력을 함양하기 위한 것이다. 급변하는 미디어 환경에서 주체적인 시각을 견지하며 실천적인 리터러시가 가능하도록, 디지털 문화 환경에 대한 올바른 이해와 리터러시에 필요한 기본 학습을 바탕으로 가장 압도적인 디지털 미디어에 대한 주체적인 리터러시 능력을 실천적으로 탐구하여, 리터러시 능력을 제고한다. 이러한 과정을 통해 한국어 구사 능력을 제고할 수 있도록 한다.",
GEN9203,유학생을위한합리적사고와토의,3,교양선택,1,1,ERICA 대학,"이 수업은 한국어능력시험(TOPIK) 3급 수준의 유학생이 '개인, 사회, 세계' 방면의 주제를 통해 한국어 능력뿐만이 아니라 비판적 사고력, 창의적 사고력, 문제 해결 능력 등을 함양하게 하는 데에 목적이 있다.  또한, 유학생들의 비판적·창의적 사고력, 문제 해결 능력을 키우기 위해 주제별로 제시된 지문을 분석하고 개별 발표를 진행하여 한국어의 어휘, 문법, 관용적 표현 등을 이해하고 활용하는 능력을 기른다. 다음으로 조별 토의 및 발표를 통해 차시별로 개인, 사회, 세계 등의 주제를 살펴본 후 자아실현 및 인간다운 삶, 사회의 균형 발전, 인류의 보편적 문제를 해결할 수 있는 방안을 탐구하며 삶에 대한 폭넓은 지식을 쌓는다.  ",
GEN9204,생활속의로봇디자인,3,교양선택,1,1,ERICA 대학,"본 교과는 4차 산업혁명시대의 지능형로봇의 신기술에 부응하기 위한 다학제적 지식과 상상력을 통한 창의 융합형 교과목으로 개발 되었다.
최근 로봇 기술이 우리 생활속에서 다양하게 나타나고 있는 것을 탐색하며 로봇의 개발 배경과 개념을 이해하도록 한다.
로봇개발에 대한 디자인 프로세스를 이해하고 로봇아이디어에 대한 학습자의 창의적인 아이디어를 도출하면서 잠재적 창의성을 자극하고 발현시켜 창의적인 문제해결의 능력과 협업 능력을 경험할 수 있도록 IC-PBL 수업 모형을 활용 및  운영하도록 한다.
",
GEN9205,호모에티쿠스로살아가기,3,교양선택,1,1,ERICA 대학," 인간이 인간답게 살아가기 위해서는 다른 사람들과 조화로운 관계를 맺으며 살아가야 한다. 인간다운 삶을 누리기 위해서는 사회 구성원으로서 마땅히 행하거나 지켜야 할 도리인 윤리(倫理)가 필요하다. 
 4차 산업혁명으로 인한 인간 문명의 변환, 코로나 팬데믹 이후에 일상으로의 회복 및 비대면 삶의 확대 등과 같이 사회구조가 복잡해지고 사회가 급변하게 됨에 따라 인간은 “어떻게 행동하고, 어떠한 삶을 살아야 하는가”라는 근본적인 물음을 제기하게 되고, 이러한 물음의 답을 찾아가는 과정에서 우리는 다양한 갈등을 겪게 된다. 
 본 강좌는 급변하고 예측 불가능한 사회를 살아가면서 직면하게 될 윤리적 문제들에 대하여 성찰하고, 책임감 있게 행동하는 ‘호모에티쿠스(Homo Ethicus)’, 즉 ‘윤리적 시민’을 양성하기 위한 교양강좌이다. 인간이 사회적 존재로서 살아가면서 발생할 수 있는 윤리적 문제들을 다양한 삶의 맥락별로 살펴보고, 윤리적 이론에 입각하여 검토함으로써 ‘윤리적 시민’으로 살아가는 데 요구되는 역량을 함양하는 데 주안점을 두고 있다. 아울러 구체적인 삶의 현장에서 제기되는 윤리적 쟁점, 해당 분야에 대한 깊이 있는 이해, 현안 문제에 적용할 수 있는 윤리 이론, 그리고 윤리적 쟁점에 대한 해결방안을 모색하고자 한다. 궁극적으로 본 강좌는 인간을 인간답게 하는 윤리의 이론적 측면과 실천적 측면을 겸비한 호모에티쿠스를 지향한다.",
GEN9207,비이공계전공자를위한반도체제조공정,3,교양선택,1,1,ERICA 대학,"4차 산업혁명의 쌀이라고 하는 반도체 산업은 국내외 중요한 산업으로 다양한 기회가 있으며 이에 맞는 인재를 요구하고 있다. 특히 국내 반도체 산업은 지속적인 발전을 거듭하고 있으며 공학전공자와 더불어 다양한 분야의 비공학 전문가와 상호 협력을 통해 기회를 만들어가고 있다. 특히 반도체 산업 생태계를 이루고 있는 소재․부품․장비 기업에서 비공학인으로 공학 전문가와의 협력을 통한 다양한 기회를 만들기 위해 반도체 공정의 기초지식이 필요로 한다. 본 교과목은 비공학인을 대상으로 반도체 생태계에서 활동하기 위한 반도체 제조공정의 기초지식을 습득하기 위한 내용을 담고 있다. 반도체 9대 공정(웨이퍼 제조, 산화공정, 포토공정, 식각공정, 증착&이온주입공정, 금속배선공정, EDS 공정, 패키징공정, 계측검사공정)을 물리, 화학, 수학 등의 이공계 지식 없이 이해하고 반도체 제조 단위공정을 설명할 수 있는 목표로 교과목 내용을 구성되어 있다. 본 교과목을 수강 후 비공학인으로서 반도체 생태계에 진출하기 위해 적합한 자신만의 학업을 설계할 수 있다. 또한 이를 위해 산업현장의 전문가의 세미나를 통해 현장의 소리를 듣고 자신만의 경력설계에 도움을 얻을 수 있다.",
GEN9208,생명의비밀,3,교양선택,1,1,ERICA 대학,"현재의 대한민국 사회는 저출산과 인간 수명의 증가로 인해 전체 인구 중 노인인구가 특이적으로 증가하고 있는 추세다. 이렇게 초고령화 사회로 진입하게 되면서 뇌혈관, 심혈관, 근골격계 질환을 비롯한 노인성 질환도 더불어 증가하게 되었다. 이에 따라 사회 구성원 모두에게 전례 없이 생명현상에 대해 보다 전문적이고 깊은 이해가 필요하게 되었다. 한편, 코로나19와 같은 팬데믹으로 인해 바이러스 질환에 대한 사회의 관심도 폭발적으로 증가했으며, 유사한 감염병을 예방할 수 있는 백신의 개발과정과 정보는 더 이상 생명과학 전공자만의 몫이 아닌 세상이 되었다. ‘mRNA 백신’의 작용원리는 인터넷 대중매체에 자주 등장해도 어색하지 않게 되었다. 

생명의 비밀’ 교양과목에서는 이렇듯 생명현상에 대해 보다 깊은 이해를 필요로 하는 사회적 요구에 따라 생명과학을 전공하지 않은 학생들도 좀 더 쉽게 생명현상의 이해에 접근할 수 있도록 유전자 발현 과정의 핵심개념을 중심으로 설명함을 목표로 하고 있다. ‘생명의 위대한 비밀’을 교재로 사용하여 총 16주 동안 생명과학 발전의 근본이 되었던 유전물질의 발견, DNA 구조의 규명, 그리고 유전정보의 해독과정을 전문적이고, 과학적인 측면에서 설명할 뿐만 아니라, 때로는 협력하고, 때로는 서로 치열하게 경쟁하는 과학자들의 뒷이야기까지 함께 소개할 예정이다. 수업 말미에는 현재 이슈가 되고 있는 생명과학 뉴스를 발췌하여 배운내용이 실제로 어떻게 적용되고 응용되고 있는지 살펴봄으로써 자칫 지루하고 어려울 수 있는 생명과학으로의 첫걸음을 보다 가볍게 내딛을 수 있도록 한다.",
GEN9209,시가필요한시간,3,교양선택,1,1,ERICA 대학,"오늘날 시의 쓸모는 어디에 있을까?  어렵고 비밀투성이며, 다가가기 힘들고 낯설다는 것이 현대시에 대한 일반적인 통념일 것이다. 그러나 정말 그럴까? 광화문을 걷다가 무심코 읽은 광화문 글판의 시 한 구절, SNS에서 밈처럼 떠도는 누군가의 시 한 구절에 마음의 힘과 소소한 위로를 얻은 적은 없을까? 『내일 아침에는 정말 괜찮을 거예요』(시요일, 2021)라는 시선집의 제목처럼 자기 자신에게 안부인사가 필요한 시대에 ˂시가 필요한 시간˃은 시를 읽고 글을 쓰면서 의미 있는 삶의 경험을 만들어 보고자 한다. 이 과목은 문학을 내면을 드러내는 렌즈로 활용하면서 시를 읽고, 시에 대해 이야기하며, 시를 변주하면서 자기 자신에 대해 생각해보는 수업으로 전문적인 시인을 양성하기 위한 창작 수업은 아니다. 시를 매개로 우리 스스로가 당면한 문제에 대해 고민해보고, 학습자가‘읽기- 쓰기’를 하면서 자신의 삶을 성찰하며 변화하는 경험을 통해‘참 자기(True Self)’로 성장할 수 있도록 하는 수업이다. 학습자는 8개 내외로 제시한 테마와 시를 통해서, 자기에 대해 탐색하고 자신이 원하는 자신의 모습을 글로 표현해볼 것이다. 이 수업은 시(문학)와 학습자 사이의 심리적이고 정서적인 상호작용에 주목하고자 한다.  ",
GEN9210,교양알렉산더테크닉과자세건강,3,교양선택,1,1,ERICA 대학,"인간의 몸은 스스로를 치유하는 놀라운 능력을 지니고 있기에 올바른 사용을 통해 긴장과 통증으로부터 자유로워질 수 있지만 반대로 잘못된 몸의 사용은 긴장과 통증을 유발시킨다. 알렉산더 테크닉은 이러한 스트레스나 피로의 원인이 되는 불필요하고 비능률적인 몸의 습관, 자세, 고정관념 등을 스스로 인식할 수 있도록 도움을 제공함으로써 몸의 자세나 움직임 등을 향상시켜 나갈 수 있도록 하는 재교육이다. 
알렉산더 테크닉은 F.M.알렉산더에 의해 만들어진 이후 130년간 미국과 유럽 등에서 널리 활용되고 있으며, 많은 사례와 연구를 통해 각종 통증과 만성질환 치료, 인지기능과 고유수용감각(운동감각) 향상 등의 효과를 보이는 것으로 알려졌다. 또한 예일대, 줄리어드음대, NYU, 버클리음대, 영국왕립연극원, 영국왕립음악학교 등 세계적 예술학교에서 정규과목으로 채택하고 있는 훈련법으로, 일반인들의 삶의 질뿐만 아니라 배우, 음악인, 무용가, 운동선수 등 전문인들의 실력 향상에도 기여하고 있다.",
GEN9211,인공지능과딥러닝의이해,3,교양선택,1,1,ERICA 대학," 본 과목에서는 인공지능을 구현하는 가장 최신 방법론인 딥러닝을 소개한다. 딥러닝의 알고리즘과 기초원리를 이해하고 활용할 수 있는 역량을 키우는 것을 목표로한다. 이를 통하여  현 인공지능 기술의 속성에 대한 이해도를 높인다.
본 교과목은 파이썬(Python)언어를 중심으로 수업이 운영되며, 프로그래밍 언어에 대한 이해도가 없을 경우, 수업을 따라오기 위해서는 추가적인 학습이 요구됨.",
GEN9212,지능형로봇프로그래밍의이해,3,교양선택,1,1,ERICA 대학,"본 교과목은 지능형 로봇의 개념과 원리를 학습하고 라이브러리를 활용한 실습교육을 통해 지능형 로봇 프로그래밍을 위한 이해도를 높인다. 또한 지능형 로봇이 어떻게 활용되고 있고, 어떤 문제를  갖고 있는 지 고찰해 본다. 지능형 로봇 프로그램에 입문하고자 하는 학생들이 이론뿐만 아니라 실습을 통해 직접 구현하여 실질적인 구현과 활용법에 대해 익히는 것을 목표로 한다.",
GEN9213,CORE기초통계,3,교양선택,1,1,ERICA 대학,"본 과목에서는 고등학교 과정 ""확률과 통계""의 핵심 개념과 탐구 기능, 문제 해결 방법 등을 다룬다. 수업의 내용은 ""순열과 조합"", ""확률"", ""통계적 추정""의 3개 핵심 개념으로 구성되어 있다. 본 강의에서 학습한 통계의 지식과 기능은 대학교 교육과정을 이수하기 위한 토대가 되고 자연 과학, 공학, 의학뿐만 아니라 경영학, 경제학을 포함한 사회 과학, 인문학 등 다양한 분야를 학습하는 데 기초가 된다. 나아가 본 강의를 통해 수강생들이 창의적 역량을 갖춘 융복합 인재로 성장할 수 있을 것으로 기대된다.",
GEN9214,CORE기초기하벡터,3,교양선택,1,1,ERICA 대학," 본 교과목은 대학 수학(미분적분학, 공업수학)의 수업을 이해하기 위한 기초 과목의 하나이다. 본 강좌
에서는 이차 곡선, 벡터, 공간 도형을 다룬다. 또한 고등학교 과정의 ``기하‘’ 과목을 기반으로 대학 수학의 
미적분학을 이해하고 응용할 수 있는 능력을 함양할 수 있도록 벡터의 기본 개념 및 대학 수학에 필요한 
다양한 응용문제, 그리고 이차 곡선의 개념과 미적분학으로의 응용, 공간 도형의 이해 등을 대학 수학과 
연계한 개념과 응용문제를 다룬다. ",
GEN9215,CORE기초미적분,3,교양선택,1,1,ERICA 대학," 이 교과는 학생들이 미분적분학1을 수강할 때 필요한 수학적 개념과 기술을 제공한다. 수업의 내용은 평균 변화율, 미분, 도함수, 이계도함수, 곡선의 접선, 극댓값과 극솟값, 지수함수, 로그함수, 사인함수, 코사인함수, 부정적분, 정적분, 치환적분법, 부분적분법, 미분에서의 평균값 정리, 적분에서의 평균값 정리 등으로 구성되어 있다. ",
GEN9216,CORE기초물리학,3,교양선택,1,1,ERICA 대학,"물리학의 주요 관심 주제 중 하나는 공간에서의 물체의 운동을 이해하는 것이다. 물체가 얼마나 빨리
움직이는지, 이 운동의 원인은 무엇인지 이해하는 것은 물리학의 모든 분야에서 쓰일 중요한 밑거름이 된다. 공학과 자연 과학을 전공할 1학년생이 수강하게 될 일반물리학1의 토대가 되는 본 과목을 통해 물체의 운동학과 동역학의 기본을 학습한다. 운동을 기술하는 기본 물리량인 위치, 속도, 가속도의 개념을 배우고, 그 내용을 이해하기 위해 필요한 수학으로 미분과 적분, 삼각함수, 벡터 등도 함께 학습한다. ",
GEN9217,CORE기초화학,3,교양선택,1,1,ERICA 대학,이공계 대학 신입생들이 고등학교 과정에서 배웠어야 할 기본 적인 화학 내용을 점검하고 부족한 부분을 온라인 강의를 통해 보충함으로써 정규 학기에 진행되는 일반화학1 및 일반화학2 강의의 기초를 확립하기 위한 교과목이다.,
GEN9218,CORE기초파이썬,3,교양선택,1,1,ERICA 대학,"본 교과목에서는 누구나 쉽게 배울 수 있는 파이썬 기초 핵심 문법을 학습한다. 학습한 문법 중심으로 실제 프로그램
에서 어떻게 활용되는지 응용 프로그램을 완성해 나간다. 이로 인해 학습한 문법을 자연스럽게 복습하게 될 것이며,
기초 문법을 익혀 나갈 수 있다.
",
GEN9219,감성품은로봇이야기,3,교양선택,1,1,ERICA 대학,"본 교과목은 지능형로봇 마이크로(초급)과정을 이수할 수 있는 과목으로  4차 산업시대의 로봇분야를 이해하고 활용하는 교과목으로 설계되었다.
로봇을 이해하고 활용하는데 있어서 인문학적 사고와 감성을 함양할 수 있는 수업으로 기술과 예술의 융합교과이다.
사회 문제(비대면, 기후변화, 1인 가구 등)와 시대 키워드(로봇, 4차 산업혁명, IoT, AI) 등 실생활과 밀접한 분야의 문제를 탐색하며, 공감과 소통을 기반으로 한 디자인씽킹의 프로세스를 이해하며 다양한 사례를 통한 공학과 감성의 로봇이야기를 접해보도록 한다.
",
GEN9220,가상확장현실의이해,3,교양선택,1,1,ERICA 대학,"디지털시대와 메타버스 시대의 개념을 파악하고 가상현실, 증강현실, 혼합현실, 확장현실의 개념을 익힌다. 다양한 사례를 바탕으로 개념 파악을 쉽게 할 수 있도록 진행하며, 언택트 시대 이슈로 인해 주목되고 있는 메타버스의 개념, 홀로그램, 사람과의 상호작용을 체득한다. 또한 요즘 주목되고 있는 가상현실보다 진보된 개념인 메타버스 체험을 통해서 학습한 내용을 확립해 나간다.",
GEN9224,4차산업혁명기술과물리학,3,교양선택,1,1,ERICA 대학,"
4차 산업혁명 시대의 과학기술은 현대인의 삶의 방식을 완전히 바꾸고 있다. 따라서 4차 산업혁명의 과학기술에 관해서 폭넓게 이해하고 이를 활용하는 것은 매우 중요하다. 본 과목에서는 4차 산업혁명란 무엇인지 그리고 그 내용이 되는 과학기술 및 그 기초가 되는 물리학에 관하여 폭넓게 탐구한다. 물리학의 기초가 없어도 수업을 들을 수 있지만 과학기술에 대한 탐구의식 및 고등학교 수준의 수학지식은 요구된다. ",
GEN9225,반도체와우리생활,3,교양선택,1,1,ERICA 대학,"반도체 기술이 등장한지 70여년만에 인간의 기술 문명에 엄청난 변화가 일어났다. 이러한 변화는 앞으로도 이어져갈 것으로 전망된다. 이제 반도체 기술은 우리 일상 생활 구석구석에 영향을 미치고 있다. 본 과목은 반도체 기술을 이해하고, 그로부터 파생된 사회변화와 기술혁명에 대해 살펴본다. 이를 위해 반도체 물성의 이해, 반도체 소자 제작, 반도체 기술 발달의 간단한 역사와 문명의 변화 등에 대해 현대의 대학생이 기본적으로 이해해야 할 수준에서 논의한다. ",
GEN9228,세계시민의식의형성과다문화교육,3,교양선택,1,1,ERICA 대학,"다문화 공동체(국가, 지역사회, 기업, 학교 등)의 형성을 통해 세계인으로서 역량을 기르고, SDGs 목표 중 하나인 불평등 감소를 이루기 위해 다문화 교육이 해야 할 구체적인 목표를 세우고, 문제를 해결할 수 있는 교육적 대안을 제시하는 과정을 통해 문제해결능력을 학습한다. 글로컬의 관점(한국사회의 관점에서) 다문화 교육의 배경과 전개과정을 살펴보고, 다문화 교육이 왜 혁신적인 교육방법의 변화인지를 이해한다. 이를 통해 다문화사회가 안고 있는 문제와 가능성 속에서 다문화시대의 건강한 공동체 형성을 위한 교육적 방법론을 모색한다. ",
GEN9230,데이터베이스기초입문,,전공핵심,,,신산업소프트웨어전공,"본 교과목에서는 학생들은 데이터베이스의 구조와 원리를 배우고 실제 데이터베이스를 활용할 수 있도록 데이터베이스의 설계와 SQL의 작성 방법, 그리고 기본적인 DBMS의 관리 방법을 익히게 된다. 많은 양의 데이터를 효율적으로 저장하고 검색, 변경, 유지하기 위한 데이타베이스의 기본 개념과 설계 기법, 구현 방법 등을 소개하며, DBMS와 관계형 데이터모델을 바탕으로 SQL을 통한 데이터 정의어, 데이터 조작어, 데이터 제어어를 이해하고 가상의 뷰를 생성하기 위한 쿼리를 작성한다. 데이터베이스에 관한 지식은 직접적으로 정보사회의 기술적 측면을 이해하는데 도움이 될 뿐 아니라 나아가 기술기반 사회의 사회문제를 이해하고 해법을 찾는데도 도움이 될 것이다.",
GEN9231,웹프레임워크개발,3,교양선택,1,1,ERICA 대학,"본 교과목은 웹 백앤드를 개발하는 과정이다. 본 수업에서는 부트스트랩, 템플릿의 상속, 게시판의 질문과 답변기능(추가, 수정, 삭제, 댓글), 폼 사용 등 Django의 기초 기능을 배우면서 하나의 게시판 만든다. ",
GEN9232,웹프로그래밍의이해와활용,3,교양선택,1,1,ERICA 대학,"- 온라인 커뮤니케이션이 확장되고 일상화되는 현실에서, 인터넷은 일상의 한 영역으로 자리잡았다.
- 온라인, Web을 구성하는 프로그래밍 언어인 HTML 언어가 어떻게 구성되어져 있으며, 해당 언어를 어떻게 이해하고 활용할 수 있는지 살펴본다.
- 나아가 CSS 언어를 통해, HTML 언어가 얼마나 다채롭게 구현될 수 있는지 살펴본다.
- 이를 토대로, 웹 환경에 대한 이해도를 높이고, 나아가 프론트엔드에 대한 일차적인 이해도를 높일 수 있다.",
GEN9233,자바스크립트프로그래밍,3,교양선택,1,1,ERICA 대학,"본교과목은 웹 개발 입문자부터 실무에서 자바스크립트를 사용할 현업 개발자까지 꼭 알아야 할 자바스크립트 필수 기초 문법을 익힌다. 문법의 기본 사용 방법뿐 아니라 응용예제를 바탕으로 프로그램 기법 및 실무에서 자바스크립트를 어떻게 활용하는지 자연스럽게 익힐 수 있을 것이다. 이를 바탕으로 인터넷 환경에서 필요한 웹 프로그램을 개발할 수 있는 기본적인 프로그래밍 기법과 응용 방법을 실습하고, 웹브라우저에서 실행되는 프로그램 작성해본다. ",
GEN9235,과학이묻고인문학이답하다,3,교양선택,1,1,ERICA 대학,"이 과목은 과학과 인문학, 두 영역의 전문가 사이에서 전개되는 생생한 대화 형식을 통해 본래 하나였던 과학과 인문학 사이의 적극적인 만남과 소통을 유도한다. 
이 수업은 자연과학도가 가지게 될 가장 근본적인 질문들, 그리고 인문학도가 그와 함께 나누게 될 역시 근본적인 질문들을 교환하는 형식을 통해 수강생의 세계관과 사고의 깊이에 개입한다. 
  이 수업은 두 사람의 교수자(공학자와 인문학자) 사이에서 이루어지는 대담 형식을 기본으로 한다.
  매주 제시되는 주제들은 과학이 인문학에게, 그리고 인문학이 과학에게 제시하는 질문과 이에 대한 대답의 대화 형태로 전개되며, 수강생들의 적극적인 반응 및 간접적인 참여를 동시에 유도하는 방식을 취한다. 
  이를 통해 우리 세계가 직면한 문제들을 해결함에 있어 과학도와 인문학도 모두 총체적인 시야를 확보하도록 유도한다. 또한 과학기술적 실용성을 추구하는 방향과 인간 정체성 및 가치관에 관한 근본적인 질문 사이의 괴리를 메워, 다가오는 미래의 위기를 극복하고 해결해 나갈 균형 잡힌 전문가와 사회인을 양성하는데 기여하도록 한다. ",
GEN9237,로봇생각과표현,3,교양선택,1,1,ERICA 대학,"본 교과목은 기초적인 로봇 학습을 중심으로 다양한 사고와 함께 로봇에 대한 생각을 다양하게 표현하는 수업으로 구성되었다. 최근 로봇은 4차 산업혁명이라는 화두 아래 인공지능기술과 연결이 되어 빠르게 개발되고 우리 주변에 등장하고 있다. 이러한 배경을 이해하고 기술, 사회, 인간 상호작용의 교차점을 중심으로 로봇의 다차원적 측면을 탐구하는 것을 목표로 한다.",
